Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	4685057	n/a	0	0	n/a	N	0	111000	1852	1128	0.42	161	414	65532	1852	n/a	64	1552	n/a	12084	1852	n/a	30996	1852	n/a	
2	4687057	n/a	0	0	n/a	N	0	000000	1600	393	0.33	2.69	59.5	26272	1600	n/a	60	1256	n/a	276	1564	n/a	5140	1600	n/a	
3	4687884	n/a	0	0	n/a	N	0	000000	232	18.7	0.04	0.69	4.76	7912	232	n/a	40	176	n/a	332	232	n/a	2316	232	n/a	
4	4688549	n/a	0	0	n/a	N	0	000000	256	29.3	0.03	0.18	0.57	13440	256	n/a	40	176	n/a	108	252	n/a	432	252	n/a	
5	4689123	n/a	0	0	n/a	N	0	000000	172	12.0	0.03	0.21	1.52	6948	172	n/a	44	120	n/a	168	172	n/a	1088	172	n/a	
6	4692421	n/a	0	0	n/a	N	0	000000	6492	2315	1.33	9.25	17.0	51240	6492	n/a	64	5408	n/a	460	5024	n/a	1832	4700	n/a	
7	4697889	n/a	0	0	n/a	N	0	000000	160	8.88	0.03	0.07	0.19	5020	160	n/a	44	140	n/a	64	160	n/a	156	156	n/a	
8	4699573	n/a	0	0	n/a	N	0	000000	212	11.4	0.04	0.05	0.11	4968	212	n/a	48	184	n/a	48	196	n/a	152	160	n/a	
9	4707472	n/a	0	0	n/a	N	0	000000	88	3.98	0.02	0.03	0.04	3800	88	n/a	48	76	n/a	52	88	n/a	156	52	n/a	
10	4709520	n/a	0	0	n/a	N	0	000000	92	4.95	0.01	0.02	0.05	4972	92	n/a	48	44	n/a	52	64	n/a	160	84	n/a	
11	4714595	n/a	0	0	n/a	N	0	000000	100	5.55	0.02	0.30	1.28	5084	100	n/a	32	84	n/a	312	100	n/a	1204	100	n/a	
