Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	19074195	n/a	0	0	n/a	N	0	111000	1760	1152	1.78	1.95	1.87	65532	1760	n/a	184	1648	n/a	272	1708	n/a	540	884	n/a	
2	19074195	n/a	0	0	n/a	N	0	111000	1380	686	1.18	1.39	0.38	55264	1380	n/a	144	1356	n/a	256	1344	n/a	312	320	n/a	
3	19074197	n/a	0	0	n/a	N	0	111000	1436	759	1.61	1.57	4.74	59096	1436	n/a	176	1416	n/a	248	1424	n/a	644	1388	n/a	
4	19074198	n/a	0	0	n/a	N	0	111000	1376	744	2.32	1.59	7.14	61492	1376	n/a	292	1292	n/a	272	1340	n/a	844	1376	n/a	
5	19074200	n/a	0	0	n/a	N	0	111000	1356	739	2.39	1.59	8.94	62008	1356	n/a	332	1260	n/a	296	1344	n/a	1036	1356	n/a	
6	19074201	n/a	0	0	n/a	N	0	111000	1376	823	4.01	1.89	7.08	65532	1376	n/a	712	1200	n/a	320	1344	n/a	1028	1352	n/a	
7	19074204	n/a	0	0	n/a	N	0	100000	1108	468	1.95	1.32	0.92	47876	1108	n/a	328	1080	n/a	292	1104	n/a	432	528	n/a	
8	19074362	n/a	0	0	n/a	N	0	000000	2908	2231	7.61	5.97	16.3	65532	2908	n/a	580	2100	n/a	712	2484	n/a	1308	2756	n/a	
9	19074364	n/a	0	0	n/a	N	0	100000	1136	500	0.87	0.98	0.44	46736	1136	n/a	132	1104	n/a	188	1124	n/a	288	336	n/a	
10	19074365	n/a	0	0	n/a	N	0	000000	640	202	0.51	0.61	0.07	37004	640	n/a	120	640	n/a	188	632	n/a	164	92	n/a	
11	19074366	n/a	0	0	n/a	N	0	100000	864	358	0.82	0.81	1.68	46876	864	n/a	136	864	n/a	176	864	n/a	460	772	n/a	
12	19074373	n/a	0	0	n/a	N	0	111000	2140	1042	1.49	1.47	3.33	65532	2140	n/a	116	2116	n/a	140	2116	n/a	808	1256	n/a	
13	19074374	n/a	0	0	n/a	N	0	101000	2300	1158	2.26	2.59	2.21	63188	2300	n/a	176	2120	n/a	292	2160	n/a	520	1200	n/a	
14	19074375	n/a	0	0	n/a	N	0	000000	1232	291	0.62	0.75	0.18	24896	1232	n/a	92	1208	n/a	124	1212	n/a	284	188	n/a	
15	19074375	n/a	0	0	n/a	N	0	111000	1368	794	3.78	2.24	1.25	65532	1368	n/a	640	1244	n/a	312	1300	n/a	588	624	n/a	
16	19074376	n/a	0	0	n/a	N	0	110000	1168	514	0.57	0.80	0.65	48648	1168	n/a	112	1128	n/a	128	1164	n/a	316	544	n/a	
17	19074382	n/a	0	0	n/a	N	0	000000	560	59.5	0.30	0.38	0.87	11028	560	n/a	88	556	n/a	92	560	n/a	464	404	n/a	
18	19075331	n/a	0	0	n/a	N	0	111000	1500	644	1.94	1.93	8.36	46280	1500	n/a	256	1424	n/a	372	1484	n/a	1000	1492	n/a	
19	19075332	n/a	0	0	n/a	N	0	111000	1080	667	1.02	1.04	3.47	65532	1080	n/a	168	1064	n/a	220	1080	n/a	708	1020	n/a	
20	19075333	n/a	0	0	n/a	N	0	100000	828	410	0.70	0.69	1.24	53856	828	n/a	144	820	n/a	148	828	n/a	556	604	n/a	
21	19075334	n/a	0	0	n/a	N	0	000000	552	172	0.41	0.52	0.24	36628	552	n/a	128	552	n/a	172	552	n/a	320	180	n/a	
22	19075335	n/a	0	0	n/a	N	0	000000	448	105	0.33	0.39	0.06	28192	448	n/a	112	448	n/a	160	448	n/a	160	80	n/a	
23	19076166	n/a	0	0	n/a	N	0	111000	1408	874	5.79	56.2	445	65532	1408	n/a	616	1236	n/a	7624	1236	n/a	63676	1292	n/a	
24	19076347	n/a	0	0	n/a	N	0	000000	584	80.7	0.46	0.85	2.60	15088	584	n/a	104	584	n/a	200	584	n/a	660	584	n/a	
25	19076944	n/a	0	0	n/a	N	0	111000	1692	1038	4.50	2.18	2.17	65532	1692	n/a	604	1472	n/a	312	1672	n/a	628	928	n/a	
26	19076945	n/a	0	0	n/a	N	0	100000	940	411	1.33	1.09	0.20	51456	940	n/a	292	880	n/a	280	916	n/a	300	224	n/a	
27	19076948	n/a	0	0	n/a	N	0	100000	860	358	1.18	1.01	4.00	49100	860	n/a	228	856	n/a	244	856	n/a	772	852	n/a	
28	19077000	n/a	0	0	n/a	N	0	101000	2404	1790	4.18	3.41	17.5	65532	2404	n/a	396	1976	n/a	444	2264	n/a	1364	2404	n/a	
29	19077001	n/a	0	0	n/a	N	0	100000	864	365	0.64	0.68	3.72	45916	864	n/a	104	864	n/a	132	864	n/a	780	852	n/a	
30	19077003	n/a	0	0	n/a	N	0	100000	712	280	0.60	0.62	1.33	43512	712	n/a	116	712	n/a	148	712	n/a	680	564	n/a	
31	19077004	n/a	0	0	n/a	N	0	000000	636	172	0.36	0.50	0.18	29508	636	n/a	88	636	n/a	132	636	n/a	232	188	n/a	
32	19077010	n/a	0	0	n/a	N	0	000000	5768	4142	35.5	15.3	53.5	65532	5768	n/a	2160	4588	n/a	1040	4556	n/a	1700	5768	n/a	
33	19077859	n/a	0	0	n/a	N	0	101000	2332	1704	14.8	7.15	21.3	65532	2332	n/a	1476	1892	n/a	752	1968	n/a	1412	2332	n/a	
34	19077860	n/a	0	0	n/a	N	0	100000	960	467	0.79	0.81	4.92	52492	960	n/a	128	956	n/a	164	952	n/a	856	960	n/a	
35	19077861	n/a	0	0	n/a	N	0	100000	792	348	0.70	0.65	4.24	49412	792	n/a	156	788	n/a	160	780	n/a	848	792	n/a	
36	19077862	n/a	0	0	n/a	N	0	000000	576	175	0.42	0.47	1.31	33952	576	n/a	108	576	n/a	152	576	n/a	540	476	n/a	
37	19077864	n/a	0	0	n/a	N	0	000000	584	144	0.41	0.44	0.50	27808	584	n/a	108	584	n/a	116	584	n/a	420	300	n/a	
38	19077881	n/a	0	0	n/a	N	0	111000	1368	895	1.39	1.39	6.01	65532	1368	n/a	184	1336	n/a	220	1368	n/a	868	1344	n/a	
39	19077882	n/a	0	0	n/a	N	0	000000	572	179	0.29	0.36	1.96	35672	572	n/a	88	552	n/a	128	548	n/a	740	552	n/a	
40	19077883	n/a	0	0	n/a	N	0	110000	912	513	0.88	0.87	1.75	62588	912	n/a	184	900	n/a	196	908	n/a	704	688	n/a	
41	19077883	n/a	0	0	n/a	N	0	000000	392	83.1	0.16	0.20	0.23	25108	392	n/a	68	384	n/a	92	384	n/a	356	164	n/a	
42	19077883	n/a	0	0	n/a	N	0	000000	132	6.76	0.06	0.08	0.04	4644	132	n/a	72	128	n/a	84	132	n/a	144	52	n/a	
43	19077884	n/a	0	0	n/a	N	0	000000	472	121	0.33	0.33	0.27	30380	472	n/a	92	472	n/a	132	472	n/a	264	224	n/a	
44	19077884	n/a	0	0	n/a	N	0	111000	1732	1136	2.14	2.76	3.14	65532	1732	n/a	216	1640	n/a	420	1656	n/a	664	1248	n/a	
45	19077885	n/a	0	0	n/a	N	0	000000	852	249	0.49	0.72	0.13	34276	852	n/a	100	832	n/a	176	840	n/a	240	148	n/a	
46	19077885	n/a	0	0	n/a	N	0	000000	156	8.38	0.04	0.06	0.00	4896	156	n/a	64	152	n/a	56	152	n/a	88	4	n/a	
47	19077885	n/a	0	0	n/a	N	0	000000	680	167	0.40	0.53	0.05	28836	680	n/a	88	676	n/a	140	680	n/a	192	76	n/a	
48	19077886	n/a	0	0	n/a	N	0	000000	192	12.5	0.10	0.11	0.12	6388	192	n/a	72	192	n/a	84	192	n/a	264	96	n/a	
49	19077888	n/a	0	0	n/a	N	0	000000	476	120	0.47	0.55	1.79	31224	476	n/a	144	476	n/a	184	476	n/a	620	468	n/a	
50	19077889	n/a	0	0	n/a	N	0	000000	584	166	0.67	0.76	2.98	35336	584	n/a	164	584	n/a	192	584	n/a	784	584	n/a	
51	19077889	n/a	0	0	n/a	N	0	000000	112	5.64	0.06	0.06	0.46	4464	112	n/a	68	108	n/a	76	112	n/a	556	112	n/a	
52	19077889	n/a	0	0	n/a	N	0	000000	280	38.5	0.15	0.18	1.45	15648	280	n/a	76	280	n/a	84	280	n/a	680	280	n/a	
53	19077891	n/a	0	0	n/a	N	0	000000	80	3.75	0.05	0.04	0.35	4004	80	n/a	68	80	n/a	68	80	n/a	604	80	n/a	
54	19077891	n/a	0	0	n/a	N	0	100000	1000	423	0.93	1.18	6.06	47220	1000	n/a	152	992	n/a	256	992	n/a	852	1000	n/a	
55	19077892	n/a	0	0	n/a	N	0	000000	152	7.98	0.07	0.08	0.25	4788	152	n/a	72	152	n/a	72	152	n/a	380	116	n/a	
56	19077893	n/a	0	0	n/a	N	0	000000	560	158	0.38	0.43	0.43	31296	560	n/a	100	560	n/a	128	560	n/a	352	280	n/a	
57	19077894	n/a	0	0	n/a	N	0	000000	96	5.00	0.04	0.07	0.07	4636	96	n/a	68	96	n/a	92	96	n/a	224	60	n/a	
58	19077894	n/a	0	0	n/a	N	0	000000	160	8.40	0.08	0.09	0.03	4708	160	n/a	72	160	n/a	84	160	n/a	208	32	n/a	
59	19077896	n/a	0	0	n/a	N	0	100000	804	335	0.81	1.15	0.34	47324	804	n/a	156	804	n/a	332	800	n/a	296	284	n/a	
60	19077896	n/a	0	0	n/a	N	0	000000	80	3.51	0.04	0.04	0.00	3676	80	n/a	60	80	n/a	76	76	n/a	40	8	n/a	
61	19077897	n/a	0	0	n/a	N	0	100000	1160	463	1.03	1.04	1.77	42748	1160	n/a	152	1152	n/a	220	1160	n/a	432	996	n/a	
62	19077911	n/a	0	0	n/a	N	0	000000	232	11.3	0.13	0.13	0.85	4264	232	n/a	68	232	n/a	72	228	n/a	560	220	n/a	
63	19077920	n/a	0	0	n/a	N	0	000000	252	12.4	0.10	0.13	1.20	4304	252	n/a	64	240	n/a	80	252	n/a	732	252	n/a	
64	19077925	n/a	0	0	n/a	N	0	000000	232	11.0	0.11	0.14	0.00	4116	232	n/a	84	228	n/a	68	232	n/a	0	0	n/a	
65	19078753	n/a	0	0	n/a	N	0	111000	2048	1501	4.58	4.96	7.03	65532	2048	n/a	532	1568	n/a	920	1916	n/a	988	1824	n/a	
66	19078755	n/a	0	0	n/a	N	0	110000	896	482	0.77	0.82	0.34	58512	896	n/a	156	892	n/a	172	896	n/a	320	252	n/a	
67	19078756	n/a	0	0	n/a	N	0	100000	692	302	0.64	0.64	0.42	48940	692	n/a	136	688	n/a	148	692	n/a	316	340	n/a	
68	19078757	n/a	0	0	n/a	N	0	000000	520	153	0.43	0.41	0.80	34140	520	n/a	124	516	n/a	128	520	n/a	400	432	n/a	
69	19078757	n/a	0	0	n/a	N	0	000000	492	123	0.40	0.47	1.34	29764	492	n/a	136	492	n/a	180	492	n/a	412	488	n/a	
70	19078758	n/a	0	0	n/a	N	0	000000	372	41.5	0.23	0.25	1.31	11720	372	n/a	92	372	n/a	96	372	n/a	716	368	n/a	
71	19078760	n/a	0	0	n/a	N	0	100000	744	294	0.66	0.65	3.76	43644	744	n/a	128	744	n/a	128	744	n/a	956	740	n/a	
72	19079597	n/a	0	0	n/a	N	0	101000	2644	1973	16.3	5.59	12.4	65532	2644	n/a	1564	2128	n/a	692	2372	n/a	1092	2380	n/a	
73	19079599	n/a	0	0	n/a	N	0	000000	1124	241	0.81	0.95	4.56	22804	1124	n/a	128	1124	n/a	184	1124	n/a	684	1116	n/a	
74	19079602	n/a	0	0	n/a	N	0	000000	1092	312	0.65	0.84	2.16	30368	1092	n/a	84	1092	n/a	144	1092	n/a	628	884	n/a	
75	19079606	n/a	0	0	n/a	N	0	000000	4348	3202	24.2	11.8	7.22	65532	4348	n/a	1648	3000	n/a	1004	3400	n/a	1344	1796	n/a	
76	19079608	n/a	0	0	n/a	N	0	100000	744	328	0.64	0.63	2.81	48484	744	n/a	124	744	n/a	152	740	n/a	680	740	n/a	
