Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	18878908	n/a	0	0	n/a	N	0	000000	288	19.4	0.04	0.38	2.78	6728	288	n/a	40	236	n/a	168	288	n/a	1036	288	n/a	
2	18885871	n/a	0	0	n/a	N	0	000000	224	15.0	0.06	0.74	6.12	6240	224	n/a	52	192	n/a	368	224	n/a	2880	224	n/a	
3	18895872	n/a	0	0	n/a	N	0	000000	268	13.7	0.04	0.22	1.45	4888	268	n/a	52	180	n/a	124	268	n/a	712	268	n/a	
4	18897878	n/a	0	0	n/a	N	0	000000	192	10.2	0.03	0.31	0.24	4784	192	n/a	40	160	n/a	164	192	n/a	220	184	n/a	
5	18899325	n/a	0	0	n/a	N	0	000000	176	14.0	0.05	0.24	1.59	8268	176	n/a	52	156	n/a	160	176	n/a	1156	176	n/a	
6	18900385	n/a	0	0	n/a	N	0	000000	120	7.47	0.03	0.15	0.79	5884	120	n/a	44	112	n/a	148	120	n/a	676	120	n/a	
7	18901458	n/a	0	0	n/a	N	0	000000	152	8.15	0.03	0.23	0.57	4808	152	n/a	40	132	n/a	156	152	n/a	396	152	n/a	
8	18901648	n/a	0	0	n/a	N	0	000000	392	26.0	0.09	0.98	4.35	6512	392	n/a	48	336	n/a	288	392	n/a	1220	392	n/a	
9	18901793	n/a	0	0	n/a	N	0	000000	100	5.14	0.01	0.03	0.17	4592	100	n/a	36	60	n/a	52	96	n/a	280	100	n/a	
10	18902232	n/a	0	0	n/a	N	0	000000	1396	306	0.39	92.0	493	31088	1396	n/a	56	1272	n/a	12388	1396	n/a	65532	1396	n/a	
11	18902351	n/a	0	0	n/a	N	0	000000	120	7.16	0.02	0.11	0.29	5656	120	n/a	48	92	n/a	104	120	n/a	364	120	n/a	
12	18902609	n/a	0	0	n/a	N	0	000000	628	33.9	0.15	0.98	2.59	5504	628	n/a	52	572	n/a	172	628	n/a	872	628	n/a	
13	18903825	n/a	0	0	n/a	N	0	000000	168	8.34	0.04	0.39	0.26	4376	168	n/a	56	136	n/a	252	168	n/a	244	164	n/a	
14	18906744	n/a	0	0	n/a	N	0	000000	136	8.95	0.02	0.06	0.28	6348	136	n/a	36	96	n/a	56	136	n/a	384	136	n/a	
15	18907339	n/a	0	0	n/a	N	0	000000	120	5.33	0.03	0.21	1.45	3748	120	n/a	36	116	n/a	188	120	n/a	1188	120	n/a	
16	18907705	n/a	0	0	n/a	N	0	000000	264	22.1	0.06	0.84	5.31	9280	264	n/a	56	240	n/a	384	264	n/a	2676	264	n/a	
17	18907773	n/a	0	0	n/a	N	0	000000	740	116	0.16	3.37	26.4	18032	740	n/a	48	640	n/a	576	740	n/a	4296	740	n/a	
18	18908115	n/a	0	0	n/a	N	0	000000	252	15.5	0.03	0.45	0.92	6144	252	n/a	32	168	n/a	196	252	n/a	472	252	n/a	
19	18908184	n/a	0	0	n/a	N	0	000000	124	6.58	0.02	0.02	0.02	4772	124	n/a	32	84	n/a	36	88	n/a	108	52	n/a	
20	18910395	n/a	0	0	n/a	N	0	101000	2396	1058	0.63	130	697	49508	2396	n/a	56	2104	n/a	7524	2396	n/a	48548	2396	n/a	
21	18910395	n/a	0	0	n/a	N	0	111000	1816	959	0.54	239	1041	55344	1816	n/a	72	1640	n/a	18964	1816	n/a	65532	1816	n/a	
22	18910398	n/a	0	0	n/a	N	0	111000	1968	1016	0.58	194	1143	55800	1968	n/a	72	1848	n/a	13296	1968	n/a	65532	1968	n/a	
23	18910399	n/a	0	0	n/a	N	0	111000	1748	775	0.43	14.6	170	56428	1748	n/a	64	1544	n/a	1668	1648	n/a	17940	1748	n/a	
24	18910400	n/a	0	0	n/a	N	0	000000	4200	2124	1.10	233	1279	65532	4200	n/a	68	3688	n/a	17192	3296	n/a	65532	4168	n/a	
25	18910401	n/a	0	0	n/a	N	0	000000	2656	1158	0.77	268	1197	65188	2656	n/a	64	2424	n/a	17948	2656	n/a	65532	2656	n/a	
26	18910402	n/a	0	0	n/a	N	0	111000	1300	771	0.33	11.1	132	65532	1300	n/a	60	1200	n/a	1108	1196	n/a	12740	1296	n/a	
27	18910402	n/a	0	0	n/a	N	0	111001	1436	983	0.37	121	664	65532	1436	n/a	64	1212	n/a	9960	1436	n/a	54560	1436	n/a	
28	18910402	n/a	0	0	n/a	N	0	111000	1456	875	0.37	41.2	426	65532	1456	n/a	60	1308	n/a	5464	1420	n/a	55004	1456	n/a	
29	18910403	n/a	0	0	n/a	N	0	111000	1920	767	0.43	23.3	342	44060	1920	n/a	64	1636	n/a	1656	1868	n/a	21040	1920	n/a	
30	18910404	n/a	0	0	n/a	N	0	101000	2320	1372	0.62	257	1290	59764	2320	n/a	64	2092	n/a	15968	2308	n/a	65532	2320	n/a	
31	18910405	n/a	0	0	n/a	N	0	000000	4080	2473	0.98	275	1665	65532	4080	n/a	72	3528	n/a	12512	3708	n/a	60872	3992	n/a	
32	18910405	n/a	0	0	n/a	N	0	101000	2656	1352	0.65	207	1231	65532	2656	n/a	68	2272	n/a	13856	2568	n/a	65532	2632	n/a	
33	18910406	n/a	0	0	n/a	N	0	000000	6164	3558	1.87	645	2599	65532	6164	n/a	72	5672	n/a	22304	6032	n/a	65532	6132	n/a	
34	18910408	n/a	0	0	n/a	N	0	000000	656	123	0.15	1.11	14.2	22000	656	n/a	56	552	n/a	208	656	n/a	2592	656	n/a	
35	18910409	n/a	0	0	n/a	N	0	000000	2732	996	0.72	224	1135	52664	2732	n/a	60	2468	n/a	17128	2696	n/a	65532	2732	n/a	
36	18910412	n/a	0	0	n/a	N	0	111000	1832	776	0.49	148	477	43196	1832	n/a	68	1688	n/a	9816	1832	n/a	33792	1832	n/a	
37	18910415	n/a	0	0	n/a	N	0	111000	1604	952	0.38	26.7	169	65532	1604	n/a	56	1452	n/a	2556	1596	n/a	14652	1572	n/a	
38	18910419	n/a	0	0	n/a	N	0	000000	2332	226	0.55	5.24	53.5	10356	2332	n/a	56	2068	n/a	296	2332	n/a	2840	2332	n/a	
39	18910422	n/a	0	0	n/a	N	0	111000	1656	817	0.44	87.4	486	60580	1656	n/a	68	1536	n/a	8224	1656	n/a	46348	1656	n/a	
40	18910424	n/a	0	0	n/a	N	0	111000	1992	983	0.71	430	1054	53100	1992	n/a	80	1776	n/a	29152	1992	n/a	64296	1992	n/a	
41	18910426	n/a	0	0	n/a	N	0	000000	2908	1276	0.86	230	517	50372	2908	n/a	76	2584	n/a	19704	2852	n/a	27096	2908	n/a	
42	18910426	n/a	0	0	n/a	N	0	111000	1860	857	0.54	173	1133	49212	1860	n/a	76	1732	n/a	12660	1860	n/a	65532	1860	n/a	
43	18910460	n/a	0	0	n/a	N	0	111000	1720	1025	0.48	113	471	65532	1720	n/a	68	1572	n/a	8124	1720	n/a	31912	1720	n/a	
44	18910864	n/a	0	0	n/a	N	0	000000	164	10.0	0.05	0.10	0.48	5760	164	n/a	60	156	n/a	72	164	n/a	392	164	n/a	
45	18910983	n/a	0	0	n/a	N	0	000000	116	7.35	0.02	0.21	1.49	6144	116	n/a	40	88	n/a	196	116	n/a	1336	116	n/a	
46	18911134	n/a	0	0	n/a	N	0	000000	132	7.32	0.04	0.07	0.06	5172	132	n/a	44	120	n/a	72	132	n/a	248	80	n/a	
47	18911251	n/a	0	0	n/a	N	0	111000	1780	723	0.51	158	1077	46532	1780	n/a	64	1568	n/a	12800	1760	n/a	65532	1780	n/a	
48	18911252	n/a	0	0	n/a	N	0	000000	540	123	0.13	7.97	90.4	23196	540	n/a	56	488	n/a	1848	540	n/a	21372	540	n/a	
49	18911254	n/a	0	0	n/a	N	0	000000	2860	1451	0.80	256	1279	65532	2860	n/a	64	2588	n/a	16480	2860	n/a	65532	2860	n/a	
50	18911258	n/a	0	0	n/a	N	0	000000	760	84.1	0.19	1.38	11.7	14796	760	n/a	60	652	n/a	280	760	n/a	2480	760	n/a	
51	18911259	n/a	0	0	n/a	N	0	111000	2020	1107	0.56	125	1004	57468	2020	n/a	64	1796	n/a	7812	2020	n/a	59772	2020	n/a	
52	18911260	n/a	0	0	n/a	N	0	111000	1748	1034	0.53	283	1031	65532	1748	n/a	68	1588	n/a	24036	1748	n/a	65532	1748	n/a	
53	18911262	n/a	0	0	n/a	N	0	000000	5592	3063	1.46	507	2728	65532	5592	n/a	64	4960	n/a	16512	5192	n/a	65532	5564	n/a	
54	18911263	n/a	0	0	n/a	N	0	111000	1988	1239	0.57	168	1239	65532	1988	n/a	68	1800	n/a	11860	1988	n/a	65532	1988	n/a	
55	18911265	n/a	0	0	n/a	N	0	111000	1968	1017	0.56	132	899	62524	1968	n/a	72	1816	n/a	11784	1968	n/a	65532	1968	n/a	
